month,T06_C,T14_C,T22_C
1,-3.9,-0.5,-2.8
2,-2.5,2.5,-0.9
3,0.2,7.1,2.3
4,5.0,14.1,7.7
5,9.9,19.1,12.2
6,14.4,23.5,16.2
7,15.3,25.1,17.7
8,14.9,24.0,17.3
9,10.6,20.2,13.2
10,6.8,14.5,8.8
11,1.7,5.4,2.7
12,-2.4,0.5,-1.9
